"Date","Time","Location","Agency","Activity","+/-","Balance"
"11/29/2022","5:38pm","Line: Woodinville - Seattle","Sound Transit","Transfer","$0.00","$104.75"
"11/29/2022","4:35pm","Line: Woodinville - Seattle","Sound Transit","Transfer","-$0.50","$104.75"
"11/29/2022","4:09pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.75","$105.25"
"11/29/2022","4:03pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.75","$104.50"
"11/29/2022","3:12pm","Line: Everett - Seattle","Sound Transit","Transfer","$0.00","$105.25"
"11/29/2022","2:59pm","Line: 7 S to Mall Station - N to College Station","Everett Transit","Transfer","$0.00","$105.25"
"11/29/2022","2:11pm","Line: 7 S to Mall Station - N to College Station","Everett Transit","Transfer","$0.00","$105.25"
"11/29/2022","1:28pm","Line: Everett - Seattle","Sound Transit","Transfer","-$0.50","$105.25"
"11/29/2022","1:25pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$105.75"
"11/29/2022","1:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$105.25"
"11/27/2022","9:57pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$105.75"
"11/27/2022","9:49pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.25","$105.50"
"11/27/2022","9:04pm","Line: Everett - Seattle","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$105.75"
"11/24/2022","7:34am","Line: Everett - Seattle","Sound Transit","Transfer","-$0.50","$106.25"
"11/24/2022","7:30am","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$106.75"
"11/24/2022","7:22am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$106.25"
"11/23/2022","5:37pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$106.75"
"11/23/2022","5:16pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.25","$106.50"
"11/23/2022","3:58pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: Broadway & Terrace St","King County Metro","Transfer","$0.00","$106.75"
"11/23/2022","3:24pm","Customer Mobile App","Regional","Money loaded on card","+$99.00","$106.75"
"11/23/2022","2:48pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: Broadway - E Howell St","King County Metro","Transfer","$0.00","$7.75"
"11/23/2022","2:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$7.75"
"11/23/2022","2:35pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$7.25"
"11/22/2022","10:38pm","Line: 45 Loyal Heights - University District, Stop: N 85th St & Greenwood Ave N","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$7.75"
"11/22/2022","6:09pm","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$7.75"
"11/22/2022","2:39pm","Line: 62 Sand Point - Green Lake - Downtown Seattle, Stop: S Jackson St & 5th Ave S","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22, Transaction declined (110)","$0.00","$0.00"
"11/22/2022","12:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Tap off, E-purse","+$0.50","$7.75"
"11/22/2022","11:55am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$7.25"
"11/20/2022","5:57pm","Line: 62 Sand Point - Green Lake - Downtown Seattle, Stop: NE 65th St & Sand Point Way NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$7.75"
"11/20/2022","1:26pm","Line: 67 Northgate - Roosevelt - University District, Stop: NE Northgate Way & 5th Ave NE","King County Metro","Transfer","$0.00","$7.75"
"11/20/2022","1:02pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$7.75"
"11/20/2022","12:56pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$7.25"
"11/20/2022","9:48am","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$7.75"
"11/20/2022","9:47am","Line: 45 Loyal Heights - University District, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22, Transaction declined (110)","$0.00","$0.00"
"11/19/2022","7:13pm","Line: 115 McCollum Park P&R - Aurora Village, Stop: Lynnwood Transit Center Bay C2","Community Transit","Transfer","$0.00","$7.75"
"11/19/2022","6:46pm","Line: Everett - Seattle","Sound Transit","Transfer","-$0.50","$7.75"
"11/19/2022","6:44pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Tap off, E-purse","+$0.50","$8.25"
"11/19/2022","6:32pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$7.75"
"11/19/2022","4:32pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$8.25"
"11/19/2022","4:14pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$7.75"
"11/19/2022","3:57pm","Line: 32 Children's Hospital - Fremont -Seattle Center West, Stop: Fremont Ave N & N 34th St","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$8.25"
"11/19/2022","12:51pm","Line: 62 Sand Point - Green Lake - Downtown Seattle, Stop: NE 65th St & Oswego Pl NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$8.25"
"11/18/2022","7:20pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","$0.00","$8.25"
"11/18/2022","7:03pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Transfer","$0.00","$8.25"
"11/18/2022","6:49pm","Line: Seattle Monorail Seattle Monorail, Stop: Seattle center","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.25"
"11/18/2022","4:15pm","Line: Seattle Monorail Seattle Monorail, Stop: Westlake center","King County Metro","Transfer","-$0.50","$8.75"
"11/18/2022","4:13pm","Line: 1-Line Northgate - Angle Lake, Stop: Westlake Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"11/18/2022","4:01pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.75"
"11/18/2022","1:42pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$9.25"
"11/17/2022","5:15pm","Line: 62 Sand Point - Green Lake - Downtown Seattle, Stop: NE Ravenna Blvd & Woodlawn Ave NE","King County Metro","Transfer","$0.00","$9.25"
"11/17/2022","5:05pm","Line: 20 Lake City - Northgate - University District, Stop: NE 45th St & 9th Ave NE","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$9.25"
"11/17/2022","2:10pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"11/17/2022","2:04pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.75"
"11/15/2022","6:56pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"11/15/2022","6:32pm","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.25","$9.00"
"11/15/2022","10:13am","Line: 36 Othello Station - Beacon Hill - Downtown Seattle, Stop: S Jackson St & 5th Ave S","King County Metro","Transfer","$0.00","$9.25"
"11/15/2022","10:03am","Line: 1-Line Northgate - Angle Lake, Stop: Intl Dist/Chinatown Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"11/15/2022","9:43am","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.75"
"11/14/2022","9:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"11/14/2022","8:34pm","Line: 1-Line Northgate - Angle Lake, Stop: Othello Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.25","$9.00"
"11/14/2022","5:51pm","Line: 36 Othello Station - Beacon Hill - Downtown Seattle, Stop: S Othello St & Martin L King Jr Way S","King County Metro","Transfer","$0.00","$9.25"
"11/14/2022","5:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Othello Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"11/14/2022","5:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.75"
"11/13/2022","10:25pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"11/13/2022","10:09pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Transfer","-$0.25","$9.00"
"11/13/2022","9:33pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.25"
"11/13/2022","8:59pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse, Transaction declined (110)","$0.00","$0.00"
"11/13/2022","8:59pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$8.75"
"11/13/2022","6:31pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.25"
"11/13/2022","6:23pm","Line: 1-Line Northgate - Angle Lake, Stop: Northgate Station","Sound Transit","Transfer","-$0.25","$9.00"
"11/13/2022","5:38pm","Line: Everett - Seattle","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$9.25"
"11/13/2022","4:34pm","Line: Swift Blue Everett - Aurora Village, Stop: Aurora Village Terminal Bay 9","Community Transit","Transfer, Transaction declined (222)","$0.00","$0.00"
"11/13/2022","4:34pm","Line: Swift Blue Everett - Aurora Village, Stop: Aurora Village Terminal Bay 9","Community Transit","Transfer, Transaction declined (110)","$0.00","$0.00"
"11/13/2022","4:34pm","Line: Swift Blue Everett - Aurora Village, Stop: Aurora Village Terminal Bay 9","Community Transit","Transfer","$0.00","$9.75"
"11/13/2022","4:24pm","Line: E Line Aurora Village Transit Center - Downtown Seattle, Stop: Aurora Ave N & N 152nd St","King County Metro","Transfer","$0.00","$9.75"
"11/13/2022","4:10pm","Line: E Line Aurora Village Transit Center - Downtown Seattle, Stop: Aurora Ave N & N 95th St","King County Metro","Transfer","$0.00","$9.75"
"11/13/2022","3:51pm","Line: E Line Aurora Village Transit Center - Downtown Seattle, Stop: Aurora Ave N & N 46th St","King County Metro","Transfer, Transaction declined (222)","$0.00","$0.00"
"11/13/2022","3:51pm","Line: E Line Aurora Village Transit Center - Downtown Seattle, Stop: Aurora Ave N & N 46th St","King County Metro","Transfer, Transaction declined (222)","$0.00","$0.00"
"11/13/2022","3:51pm","Line: E Line Aurora Village Transit Center - Downtown Seattle, Stop: Aurora Ave N & N 46th St","King County Metro","Transfer","$0.00","$9.75"
"11/13/2022","3:25pm","Line: 44 Ballard - Montlake, Stop: NW Market St & Ballard Ave NW","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$9.75"
"11/13/2022","12:30pm","Line: 40 Northgte-Ballard-Fremont-Westlake-Downtown Seattle, Stop: Northgate Station - Bay 4","King County Metro","Transfer","$0.00","$9.75"
"11/13/2022","12:05pm","Line: 67 Northgate - Roosevelt - University District, Stop: Roosevelt Station - Bay 3","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$9.75"
"11/12/2022","4:10pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.75"
"11/12/2022","3:48pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.25","$9.50"
"11/12/2022","1:59pm","Line: First Hill Streetcar Streetcar: Pioneer Square - Capitol Hill, Stop: S Jackson St & 5th Ave S","King County Metro","Transfer","$0.00","$9.75"
"11/12/2022","1:28pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.75"
"11/12/2022","1:10pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$9.25"
"11/12/2022","12:39pm","Line: 45 Loyal Heights - University District, Stop: Roosevelt Station - Bay 1","King County Metro","Boarding, PugetPass $2.75, Pass valid until 12/1/22","$0.00","$9.75"
"11/11/2022","4:09pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.50","$9.75"
"11/11/2022","3:58pm","Line: 1-Line Northgate - Angle Lake, Stop: U District Station","Sound Transit","Transfer","-$0.50","$9.25"
"11/11/2022","3:33pm","Line: 43 Univ Dist-Montlake-Capitol Hill-Downtown Seattle, Stop: E John St & Broadway  E","King County Metro","Transfer","$0.00","$9.75"
"11/11/2022","3:27pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.25","$9.75"
"11/11/2022","2:21pm","Line: 1-Line Northgate - Angle Lake, Stop: SODO Station","Sound Transit","Transfer","-$0.25","$9.50"
"11/11/2022","1:29pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse","+$0.50","$9.75"
"11/11/2022","1:28pm","Line: 1-Line Northgate - Angle Lake, Stop: Capitol Hill Station","Sound Transit","Tap off, E-purse, Transaction declined (110)","$0.00","$0.00"
"11/11/2022","1:06pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Boarding, PugetPass $2.75, Pass valid until 12/1/22","-$0.50","$9.25"
"11/9/2022","8:40pm","Line: 1-Line Northgate - Angle Lake, Stop: Roosevelt Station","Sound Transit","Tap off, E-purse","+$0.25","$9.75"
